순위	제목	저자	출판사	출간일	판매가	정가	할인율	링크	이미지
458	선생님을 위한 교육용 AI 챗봇 활용법	임세범	앤써북	2025년 06월	20,250	22,500	10.0	https://www.yes24.com/product/goods/146929026	https://image.yes24.com/goods/146929026/L
459	한 권으로 끝내는 직장인 필수 IT 지식	정명림	비제이퍼블릭(BJ퍼블릭)	2025년 05월	24,750	27,500	10.0	https://www.yes24.com/product/goods/146529227	https://image.yes24.com/goods/146529227/L
460	59가지 통계학 궁금증 완전 정복	황성원	길벗	2025년 05월	21,600	24,000	10.0	https://www.yes24.com/product/goods/146344298	https://image.yes24.com/goods/146344298/L
461	러닝 랭체인	메이오 오신	한빛미디어	2025년 05월	25,200	28,000	10.0	https://www.yes24.com/product/goods/146327472	https://image.yes24.com/goods/146327472/L
462	코딩 자율학습 컴퓨터 구조와 운영체제	기술노트 알렉	길벗	2025년 05월	23,400	26,000	10.0	https://www.yes24.com/product/goods/146051138	https://image.yes24.com/goods/146051138/L
463	AI x 창의성: 미술·혁신·교육	박지숙	아트브릿지	2025년 04월	17,820	19,800	10.0	https://www.yes24.com/product/goods/145967474	https://image.yes24.com/goods/145967474/L
464	아이패드 드로잉으로 기록하는 일상의 조각들	이이오	한빛라이프	2025년 05월	19,800	22,000	10.0	https://www.yes24.com/product/goods/145963641	https://image.yes24.com/goods/145963641/L
465	주니어 백엔드 개발자가 반드시 알아야 할 실무 지식	최범균	한빛미디어	2025년 04월	25,200	28,000	10.0	https://www.yes24.com/product/goods/145761422	https://image.yes24.com/goods/145761422/L
466	모두의 딥러닝	조태호	길벗	2025년 04월	26,100	29,000	10.0	https://www.yes24.com/product/goods/145612410	https://image.yes24.com/goods/145612410/L
467	맥킨지의 로지컬 라이팅	아카바 유지	유엑스리뷰	2025년 04월	20,700	23,000	10.0	https://www.yes24.com/product/goods/145239043	https://image.yes24.com/goods/145239043/L
468	생성 AI를 활용한 나만의 콘텐츠 만들기	김민후	영진닷컴	2025년 04월	22,500	25,000	10.0	https://www.yes24.com/product/goods/144687205	https://image.yes24.com/goods/144687205/L
469	쉽고 빠르게 익히는 실전 LLM	시난 오즈데미르	한빛미디어	2025년 03월	27,000	30,000	10.0	https://www.yes24.com/product/goods/144087363	https://image.yes24.com/goods/144087363/L
470	선생님을 위한 8282 업무 자동화 with AI+파이썬+노코드	강우혁	골든래빗	2025년 04월	25,200	28,000	10.0	https://www.yes24.com/product/goods/143533211	https://image.yes24.com/goods/143533211/L
471	UX/UI 디자인 완벽 가이드: UI, 인터랙션, 프로토타이핑 편	조성봉	위키북스	2025년 03월	25,200	28,000	10.0	https://www.yes24.com/product/goods/143343835	https://image.yes24.com/goods/143343835/L
472	일반통계학	서울대학교 자연과학대학 통계학과	한빛아카데미	2025년 03월	35,000	35,000	nan	https://www.yes24.com/product/goods/143081338	https://image.yes24.com/goods/143081338/L
473	개념탑재 오토캐드	정인수	피앤피북	2025년 02월	22,500	25,000	10.0	https://www.yes24.com/product/goods/142996257	https://image.yes24.com/goods/142996257/L
